[00:00:34]	D47.MPF-DvL.514 used command '/Dispatch ANTI-CITIZEN'.
[00:00:37]	D47.MPF-DvL.514 entered observer.
[00:00:45]	D47.MPF-DvL.514 exited observer at their location.
[00:01:07]	D47.MPF-DvL.514 used command '/Dispatch ACTIVITY LEVEL 1'.
[00:01:32]	D47.MPF-DvL.514 used command '/Dispatch ACTIVITY LEVEL'.
[00:01:37]	D47.MPF-DvL.514 used command '/Dispatch ANTI-CIVIL EVIDENCE'.
[00:01:54]	D47.MPF-DvL.514 used command '/Dispatch ANTI-CIVIL EVIDENCE'.
[00:02:05]	D47.MPF-DvL.514 used command '/Dispatch CITIZEN RELOCATION'.
[00:02:32]	D47.MPF-DvL.514 used command '/Dispatch INDIVIDUAL CHARGED WITH'.
[00:03:48]	D47.MPF-DvL.514 has gained 50 tokens.
[00:04:59]	D47.MPF-DvL.514 used command '/Dispatch JUDGMENT WAIVER'.
[00:09:22]	D47.MPF-DvL.514 has gained 50 tokens.
[00:09:34]	D47.MPF-DvL.514 entered observer.
[00:09:40]	D47.MPF-DvL.514 exited observer at their location.
[00:17:00]	D47.MPF-DvL.514 has taken 10 damage from worldspawn.
[00:18:18]	Г@H3NK loaded the character 'Александр Климов'
[00:18:20]	Александр Климов ran 'EquipUn' on item 'AK-47' (#402)
[00:18:21]	Александр Климов ran 'Equip' on item 'AK-47' (#402)
[00:21:42]	Г@H3NK loaded the character 'D47.MPF-DvL.514'
[00:26:42]	D47.MPF-DvL.514 has gained 50 tokens.
[00:30:14]	D47.MPF-DvL.514 entered observer.
[00:30:20]	D47.MPF-DvL.514 exited observer at their location.
[00:30:20]	D47.MPF-DvL.514 entered observer.
[00:30:41]	D47.MPF-DvL.514 has spawned a 'Entity [1345][ix_vendingmachine]'.
[00:30:44]	D47.MPF-DvL.514 has spawned a 'Entity [1345][ix_vendingmachine]'.
[00:30:46]	D47.MPF-DvL.514 has spawned a 'Entity [1367][ix_vendingmachine]'.
[00:30:48]	D47.MPF-DvL.514 exited observer at their location.
[00:30:57]	D47.MPF-DvL.514 entered observer.
[00:31:06]	D47.MPF-DvL.514 exited observer at their location.
[00:31:11]	D47.MPF-DvL.514 has spawned a 'Entity [474][ix_vendingmachine]'.
[00:31:38]	D47.MPF-DvL.514 has spawned a 'Entity [474][ix_vendingmachine]'.
[00:31:42]	D47.MPF-DvL.514 has gained 50 tokens.
[00:31:45]	D47.MPF-DvL.514 entered observer.
[00:31:59]	D47.MPF-DvL.514 has spawned a 'Entity [474][ix_forcefield]'.
[00:32:02]	D47.MPF-DvL.514 has spawned a 'Entity [474][ix_forcefield]'.
[00:32:05]	D47.MPF-DvL.514 exited observer at their location.
[00:32:09]	D47.MPF-DvL.514 entered observer.
[00:32:13]	D47.MPF-DvL.514 exited observer at their location.
[00:32:21]	D47.MPF-DvL.514 has spawned a 'Entity [474][ix_forcefield]'.
[00:32:23]	D47.MPF-DvL.514 has spawned a 'Entity [1345][ix_forcefield]'.
[00:32:27]	D47.MPF-DvL.514 has spawned a 'Entity [1345][ix_forcefield]'.
[00:33:03]	D47.MPF-DvL.514 has spawned a 'Entity [474][ix_combinelock]'.
[00:33:05]	D47.MPF-DvL.514 entered observer.
[00:33:07]	D47.MPF-DvL.514 exited observer at their location.
[00:33:10]	D47.MPF-DvL.514 entered observer.
[00:33:11]	D47.MPF-DvL.514 exited observer at their location.
[00:33:11]	D47.MPF-DvL.514 has spawned a 'Entity [1367][ix_combinelock]'.
[00:36:42]	D47.MPF-DvL.514 has gained 50 tokens.
[00:41:42]	D47.MPF-DvL.514 has gained 50 tokens.
[00:43:28]	D47.MPF-DvL.514 ran 'Equip' on item 'Броня ГО' (#415)
[00:43:34]	D47.MPF-DvL.514 ran 'EquipUn' on item 'Броня ГО' (#415)
[00:43:36]	D47.MPF-DvL.514 ran 'Equip' on item 'Броня ГО' (#415)
[00:43:37]	D47.MPF-DvL.514 ran 'EquipUn' on item 'Броня ГО' (#415)
[00:46:42]	D47.MPF-DvL.514 has gained 50 tokens.
[00:46:44]	D47.MPF-DvL.514 has spawned 'models/toastlord/t_metrocop_reimagined.mdl'.
[00:46:46]	D47.MPF-DvL.514 has spawned 'models/player/toastlord/pm_metrocop_reimagined.mdl'.
[00:47:25]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle.mdl'.
[00:47:29]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle.mdl'.
[00:47:30]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_dvl.mdl'.
[00:47:31]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_ofc.mdl'.
[00:47:35]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_ofc.mdl'.
[00:47:36]	D47.MPF-DvL.514 entered observer.
[00:47:38]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_dvl.mdl'.
[00:47:39]	D47.MPF-DvL.514 exited observer at their location.
[00:47:40]	D47.MPF-DvL.514 entered observer.
[00:47:40]	D47.MPF-DvL.514 exited observer at their location.
[00:47:41]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_dvl.mdl'.
[00:47:41]	D47.MPF-DvL.514 entered observer.
[00:47:44]	D47.MPF-DvL.514 exited observer at their location.
[00:47:44]	D47.MPF-DvL.514 entered observer.
[00:47:45]	D47.MPF-DvL.514 exited observer at their location.
[00:47:45]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_dvl.mdl'.
[00:47:54]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/civil_medic_subtle.mdl'.
[00:47:58]	D47.MPF-DvL.514 entered observer.
[00:48:00]	D47.MPF-DvL.514 exited observer at their location.
