[06:57:06]	Г@H3NK has connected.
[06:58:05]	Г@H3NK loaded the character 'Александр Климов'
[06:58:41]	Александр Климов has lost 8 tokens.
[06:58:42]	Александр Климов ordered a shipment
[06:58:46]	Александр Климов has gained a 'Китайская лапша' #128.
[06:58:46]	Александр Климов took 'Китайская лапша' from the shipment
[06:58:48]	Александр Климов ran 'Eat' on item 'Китайская лапша' (#128)
[06:58:55]	Александр Климов used the 'Валерий' vendor.
[07:01:18]	Александр Климов used the 'Валерий' vendor.
[07:01:20]	Александр Климов has lost 8 tokens.
[07:01:20]	Александр Климов has gained a 'Наручкики' #128.
[07:01:25]	Александр Климов ran 'Use' on item 'Наручкики' (#128)
[07:04:06]	Александр Климов entered observer.
[07:04:58]	Александр Климов exited observer at their location.
[07:05:34]	Александр Климов ran 'EquipUn' on item 'ДС Дробовик' (#91)
[07:05:35]	Александр Климов ran 'EquipUn' on item 'Glock' (#89)
[07:05:36]	Александр Климов ran 'Toggle' on item 'Портативная рация' (#93)
[07:06:51]	Александр Климов set weaponRaiseTime to '1'.
[07:07:13]	Александр Климов has spawned a 'Entity [678][ix_forcefield]'.
[07:07:21]	Александр Климов has spawned a 'Entity [678][ix_rationdispenser]'.
[07:07:22]	Александр Климов has spawned a 'Entity [689][ix_vendingmachine]'.
[07:07:24]	Александр Климов has spawned a 'Entity [678][ix_rationdispenser]'.
[07:07:34]	Александр Климов has spawned a 'Entity [678][st_radio_country_n]'.
[07:07:36]	Александр Климов has spawned a 'Entity [679][st_radio_jams_n]'.
[07:07:38]	Александр Климов has spawned a 'Entity [678][st_radio_cuban_n]'.
[07:07:49]	Александр Климов entered observer.
[07:07:57]	Александр Климов exited observer at their location.
[07:08:00]	Александр Климов entered observer.
[07:08:06]	Александр Климов exited observer at their location.
[07:08:08]	Александр Климов entered observer.
[07:08:10]	Александр Климов exited observer at their location.
[07:08:30]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[07:08:43]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[07:08:46]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[07:08:48]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[07:08:52]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[07:09:21]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[07:10:46]	Александр Климов has spawned 'models/props_debris/metal_panel01a.mdl'.
[07:10:48]	Александр Климов has spawned 'models/props_debris/metal_panel02a.mdl'.
[07:12:17]	Александр Климов has spawned 'models/props_debris/metal_panel02a.mdl'.
[07:12:51]	Александр Климов has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[07:13:05]	Александр Климов has spawned 'models/props_trainstation/BenchOutdoor01a.mdl'.
[07:13:21]	Александр Климов has spawned 'models/props_lab/lockerdoorleft.mdl'.
[07:13:32]	Александр Климов has spawned 'models/props_debris/metal_panel02a.mdl'.
[07:13:37]	Александр Климов has spawned 'models/props_docks/dock01_cleat01a.mdl'.
[07:13:38]	Александр Климов has spawned 'models/props_docks/dock01_pole01a_128.mdl'.
[07:14:26]	Александр Климов has spawned 'models/props_trainstation/BenchOutdoor01a.mdl'.
[07:14:55]	Александр Климов has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[07:15:24]	Александр Климов entered observer.
[07:15:26]	Александр Климов exited observer at their location.
